quarter,People,Men,Women
Nov-Jan 2014,7.171694339,7.391904095,6.918903792
Dec-Feb 2014,6.893654974,7.201242699,6.540418949
Jan-Mar 2014,6.762184039,7.037705291,6.445940746
Feb-Apr 2014,6.598652449,6.865057135,6.293144218
Mar-May 2014,6.419642868,6.620524214,6.190107435
Apr-Jun 2014,6.285297334,6.515223939,6.022545919
May-Jul 2014,6.14133961,6.405786249,5.839224449
Jun-Aug 2014,6.007282987,6.262795834,5.715481654
Jul-Sep 2014,5.963297915,6.20558907,5.686283516
Aug-Oct 2014,5.964108431,6.233980909,5.655984595
Sep-Nov 2014,5.871371752,6.135223651,5.570370065
Oct-Dec 2014,5.713943558,5.970881059,5.421015022
Nov-Jan 2015,5.670487537,5.863736097,5.450200182
Dec-Feb 2015,5.586620414,5.755003681,5.394132444
Jan-Mar 2015,5.550096813,5.722459162,5.35292497
Feb-Apr 2015,5.518101873,5.719844681,5.287854312
Mar-May 2015,5.60776195,5.772939949,5.420015018
Apr-Jun 2015,5.601129216,5.771520781,5.407066454
May-Jul 2015,5.514911517,5.621339265,5.393643955
Jun-Aug 2015,5.373080973,5.518932244,5.20638854
Jul-Sep 2015,5.288693295,5.43193076,5.125278434
Aug-Oct 2015,5.184773293,5.318886747,5.031115443
Sep-Nov 2015,5.076842783,5.216391346,4.917085051
Oct-Dec 2015,5.099483023,5.207448064,4.975618394
Nov-Jan 2016,5.087590043,5.199363943,4.959257563
Dec-Feb 2016,5.116303933,5.22251797,4.994083984
Jan-Mar 2016,5.086588537,5.160385838,5.001919385
Feb-Apr 2016,5.022712701,5.022928137,5.022465984
Mar-May 2016,4.934685112,5.080669144,4.767968225
Apr-Jun 2016,4.913662261,5.000502548,4.814449204
May-Jul 2016,4.885593398,5.055077802,4.69182683
Jun-Aug 2016,4.94880206,4.996129261,4.894785481
Jul-Sep 2016,4.801996126,4.921948993,4.665271763
